FIFO: 188
0 644 2
1 644 6
2 934 9
3 644 0
4 644 5
5 934 0
6 806 4
7 934 13
8 1474 4
9 1551 3
10 1474 8
11 644 4
12 1474 1
13 934 15
14 806 2
15 1551 2
16 934 16
17 1474 2
18 1551 8
19 1474 6
20 1551 6
21 806 3
22 806 5
23 806 8
24 1551 5
LRU: 183
0 644 6
1 644 4
2 934 15
3 644 5
4 644 0
5 934 0
6 806 6
7 934 16
8 1474 4
9 1551 6
10 1474 6
11 644 2
12 1474 1
13 934 9
14 806 8
15 1551 5
16 934 13
17 1474 2
18 1551 2
19 1474 8
20 1551 3
21 806 3
22 806 2
23 806 5
24 1551 8
OPT: 131
0 644 4
1 644 5
2 934 16
3 644 2
4 644 0
5 934 7
6 806 3
7 934 0
8 1474 8
9 1551 4
10 1474 2
11 644 3
12 1474 5
13 934 5
14 806 8
15 1551 8
16 934 9
17 1474 3
18 1551 6
19 1474 6
20 1551 2
21 806 6
22 806 2
23 806 4
24 1551 5
