FIFO: 116
0 644 12
1 644 10
2 934 10
3 644 5
4 644 4
5 934 8
6 806 10
7 934 6
8 1474 2
9 1551 8
10 1474 1
11 644 6
12 1474 3
13 934 7
14 644 0
15 644 2
16 806 15
17 1551 2
18 934 5
19 1474 5
20 1551 3
21 1474 6
22 1474 8
23 934 0
24 934 13
25 1551 1
26 806 8
27 806 7
28 806 5
29 1551 9
30 1551 7
31 806 2
32 934 15
33 644 9
34 1474 7
35 806 3
36 806 14
37 1474 9
38 806 9
39 644 11
40 934 9
41 1474 0
42 1551 5
43 1551 6
44 1551 4
LRU: 121
0 644 10
1 644 2
2 934 16
3 644 6
4 644 0
5 934 13
6 806 2
7 934 0
8 1474 2
9 1551 0
10 1474 3
11 644 3
12 1474 5
13 934 9
14 644 4
15 644 5
16 806 7
17 1551 3
18 934 15
19 1474 1
20 1551 7
21 1474 8
22 1474 9
23 934 8
24 934 5
25 1551 1
26 806 4
27 806 6
28 806 3
29 1551 5
30 1551 4
31 806 8
32 934 7
33 644 8
34 1474 4
35 806 10
36 806 9
37 1474 0
38 806 5
39 644 9
40 934 6
41 1474 6
42 1551 8
43 1551 2
44 1551 6
OPT: 83
0 644 5
1 644 2
2 934 13
3 644 3
4 644 0
5 934 5
6 806 8
7 934 15
8 1474 1
9 1551 2
10 1474 2
11 644 10
12 1474 5
13 934 8
14 644 6
15 644 4
16 806 5
17 1551 3
18 934 0
19 1474 6
20 1551 0
21 1474 8
22 1474 7
23 934 9
24 934 14
25 1551 1
26 806 2
27 806 6
28 806 7
29 1551 4
30 1551 7
31 806 3
32 934 16
33 644 8
34 1474 9
35 806 4
36 806 9
37 1474 0
38 806 10
39 644 7
40 934 12
41 1474 4
42 1551 5
43 1551 6
44 1551 8
