FIFO: 214
0 2201 7
1 1390 14
2 3953 2
3 3953 1
4 2201 6
5 3081 8
6 1390 13
7 3081 19
8 1390 15
9 408 4
10 408 5
11 408 10
12 408 12
13 1934 14
14 1934 5
15 3953 12
16 3953 6
17 3953 11
18 2201 8
19 2201 4
20 2201 3
21 1390 21
22 1390 4
23 3081 21
24 408 14
25 3081 5
26 3081 15
27 3081 16
28 408 7
29 4204 9
30 1390 2
31 1934 6
32 1390 1
33 4204 10
34 2201 5
35 4204 6
36 4204 1
37 3081 14
38 1390 0
39 3953 4
40 4204 16
41 1390 18
42 3081 7
43 408 11
44 4204 11
45 1934 13
46 1934 7
47 1934 19
48 2201 1
49 1390 19
50 408 16
51 1390 20
52 408 18
53 2201 10
54 408 0
55 408 2
56 2201 12
57 4204 3
58 3081 12
59 2201 11
60 408 1
61 2201 13
62 1934 18
63 1390 17
64 1390 3
65 1934 16
66 1934 9
67 408 3
68 4204 13
69 1934 3
70 4204 4
71 4204 7
72 4204 0
73 1934 1
74 3953 7
75 3953 14
76 3081 11
77 1934 11
78 3953 8
79 2201 14
80 3081 17
81 4204 2
82 3953 10
83 1934 15
84 3953 9
85 3081 13
86 3081 9
87 4204 8
88 3953 13
89 2201 9
90 3953 3
LRU: 212
0 2201 2
1 1390 3
2 3953 1
3 3953 6
4 2201 13
5 3081 20
6 1390 8
7 3081 12
8 1390 15
9 408 11
10 408 4
11 408 14
12 408 7
13 1934 5
14 1934 6
15 3953 2
16 3953 4
17 3953 12
18 2201 4
19 2201 5
20 2201 8
21 1390 20
22 1390 21
23 3081 7
24 408 2
25 3081 15
26 3081 21
27 3081 18
28 408 1
29 4204 1
30 1390 10
31 1934 8
32 1390 17
33 4204 9
34 2201 12
35 4204 11
36 4204 8
37 3081 16
38 1390 1
39 3953 13
40 4204 16
41 1390 14
42 3081 14
43 408 9
44 4204 3
45 1934 13
46 1934 3
47 1934 16
48 2201 10
49 1390 19
50 408 10
51 1390 18
52 408 18
53 2201 9
54 408 3
55 408 16
56 2201 14
57 4204 10
58 3081 13
59 2201 0
60 408 12
61 2201 11
62 1934 17
63 1390 13
64 1390 0
65 1934 14
66 1934 18
67 408 0
68 4204 13
69 1934 9
70 4204 6
71 4204 7
72 4204 0
73 1934 11
74 3953 11
75 3953 10
76 3081 8
77 1934 7
78 3953 14
79 2201 6
80 3081 9
81 4204 2
82 3953 17
83 1934 15
84 3953 9
85 3081 19
86 3081 11
87 4204 4
88 3953 3
89 2201 7
90 3953 8
OPT: 152
0 2201 13
1 1390 18
2 3953 10
3 3953 9
4 2201 1
5 3081 20
6 1390 21
7 3081 9
8 1390 3
9 408 1
10 408 0
11 408 3
12 408 4
13 1934 8
14 1934 2
15 3953 13
16 3953 4
17 3953 11
18 2201 4
19 2201 5
20 2201 10
21 1390 20
22 1390 8
23 3081 7
24 408 10
25 3081 15
26 3081 16
27 3081 14
28 408 12
29 4204 3
30 1390 19
31 1934 17
32 1390 7
33 4204 10
34 2201 12
35 4204 13
36 4204 16
37 3081 19
38 1390 9
39 3953 7
40 4204 15
41 1390 17
42 3081 21
43 408 11
44 4204 14
45 1934 14
46 1934 5
47 1934 13
48 2201 11
49 1390 14
50 408 2
51 1390 10
52 408 18
53 2201 9
54 408 9
55 408 21
56 2201 8
57 4204 6
58 3081 11
59 2201 0
60 408 7
61 2201 14
62 1934 1
63 1390 13
64 1390 15
65 1934 3
66 1934 18
67 408 14
68 4204 4
69 1934 11
70 4204 9
71 4204 7
72 4204 0
73 1934 9
74 3953 14
75 3953 0
76 3081 13
77 1934 10
78 3953 17
79 2201 6
80 3081 12
81 4204 2
82 3953 12
83 1934 7
84 3953 5
85 3081 5
86 3081 8
87 4204 8
88 3953 3
89 2201 7
90 3953 2
