FIFO: 1828
0 10487 14
1 7827 17
2 4739 43
3 8772 26
4 5280 45
5 770 15
6 7827 19
7 2958 28
8 10487 3
9 1642 23
10 7993 9
11 7993 10
12 7827 35
13 627 22
14 770 13
15 1642 29
16 2958 27
17 627 20
18 6745 37
19 6745 35
20 8772 22
21 1642 21
22 2327 31
23 2620 40
24 10487 39
25 2958 25
26 9155 11
27 3758 9
28 5822 21
29 2620 38
30 1642 4
31 7827 4
32 7993 7
33 7827 8
34 2958 26
35 9155 12
36 7827 7
37 9725 18
38 2327 32
39 2620 4
40 9155 0
41 9725 19
42 2327 34
43 3758 11
44 9155 2
45 10487 37
46 5822 12
47 7293 20
48 1642 13
49 7293 1
50 627 24
51 10186 7
52 7827 36
53 2620 2
54 10487 38
55 9725 7
56 770 23
57 2894 1
58 7293 28
59 8772 23
60 4739 8
61 1642 16
62 2894 0
63 770 22
64 1642 14
65 7993 25
66 1642 17
67 2620 33
68 3758 12
69 7993 24
70 5280 41
71 10487 35
72 4739 29
73 5280 40
74 3758 14
75 7293 24
76 770 10
77 2894 32
78 770 8
79 5822 26
80 3758 3
81 10186 8
82 770 0
83 1642 19
84 770 1
85 2620 35
86 2620 36
87 7293 17
88 770 3
89 2894 33
90 2894 7
91 627 9
92 10186 4
93 6745 36
94 6745 34
95 4739 31
96 2894 6
97 6745 32
98 10487 34
99 8772 24
100 3758 18
101 9725 8
102 6745 16
103 9155 36
104 10186 3
105 5822 28
106 10186 2
107 7293 16
108 5822 10
109 7993 17
110 9725 10
111 2894 31
112 1642 12
113 5280 39
114 770 2
115 1642 22
116 1642 24
117 3758 17
118 7293 15
119 10186 0
120 7827 31
121 2894 4
122 2958 34
123 4739 33
124 2327 1
125 6745 15
126 2620 34
127 2620 37
128 6745 14
129 5280 15
130 9725 6
131 7993 16
132 9725 24
133 10487 36
134 5822 8
135 4739 35
136 7827 30
137 7293 10
138 7827 18
139 770 16
140 9725 5
141 5280 17
142 7827 21
143 10186 30
144 2620 7
145 8772 25
146 10186 29
147 10186 31
148 9725 29
149 8772 15
150 9725 23
151 2327 29
152 3758 19
153 2620 9
154 7993 18
155 5822 23
156 8772 17
157 10186 15
158 4739 32
159 4739 34
160 2958 32
161 770 14
162 2958 33
163 2327 14
164 3758 16
165 7293 11
166 2958 4
167 7827 22
168 2894 5
169 9155 38
170 9155 39
171 5822 13
172 9155 7
173 5822 7
174 2327 16
175 9155 3
176 9725 25
177 5280 16
178 2894 8
179 9725 17
180 8772 16
181 7293 9
182 2958 3
183 4739 23
184 3758 15
185 8772 14
186 2958 31
187 7993 0
188 2958 30
189 4739 18
190 4739 36
191 2958 29
192 7993 6
193 10186 5
194 9155 1
195 9155 6
196 7293 7
197 6745 17
198 5822 3
199 2620 3
200 10186 6
201 627 7
202 8772 12
203 2327 18
204 5280 30
205 2327 3
206 2894 9
207 5822 5
208 8772 28
209 7293 21
210 2894 2
211 10487 8
212 7993 4
213 5280 31
214 7993 8
215 2327 5
216 10487 17
217 627 11
218 6745 5
219 5822 2
220 627 17
221 9155 9
222 6745 4
223 3758 2
224 6745 3
225 8772 27
226 10487 16
227 10487 15
228 4739 45
229 627 16
230 627 15
231 5280 46
232 627 31
233 627 0
234 627 1
235 5280 44
236 5280 43
237 3758 0
238 2327 39
239 2327 38
LRU: 1829
0 10487 36
1 7827 18
2 4739 34
3 8772 14
4 5280 30
5 770 3
6 7827 8
7 2958 31
8 10487 15
9 1642 0
10 7993 9
11 7993 5
12 7827 19
13 627 0
14 770 20
15 1642 2
16 2958 25
17 627 31
18 6745 35
19 6745 14
20 8772 23
21 1642 24
22 2327 14
23 2620 31
24 10487 39
25 2958 35
26 9155 0
27 3758 9
28 5822 5
29 2620 3
30 1642 16
31 7827 35
32 7993 0
33 7827 36
34 2958 27
35 9155 39
36 7827 22
37 9725 19
38 2327 1
39 2620 36
40 9155 12
41 9725 10
42 2327 29
43 3758 16
44 9155 3
45 10487 16
46 5822 2
47 7293 7
48 1642 12
49 7293 16
50 627 22
51 10186 2
52 7827 20
53 2620 35
54 10487 14
55 9725 24
56 770 10
57 2894 7
58 7293 21
59 8772 22
