FIFO: 253
0 2201 12
1 1390 14
2 3953 17
3 3953 8
4 2201 11
5 3081 16
6 1390 13
7 3081 14
8 1390 15
9 408 11
10 408 16
11 408 18
12 408 0
13 1934 6
14 1934 5
15 3953 1
16 3953 3
17 3953 10
18 2201 13
19 2201 14
20 2201 6
21 1390 0
22 1390 18
23 3081 20
24 408 2
25 3081 12
26 3081 11
27 3081 9
28 408 1
29 4204 4
30 1390 19
31 1934 9
32 1390 17
33 4204 7
34 2201 4
35 4204 2
36 4204 9
37 3081 21
38 1390 20
39 3953 13
40 4204 8
41 1390 21
42 3081 5
43 408 3
44 4204 11
45 1934 11
46 1934 7
47 1934 8
48 2201 8
49 1390 1
50 408 4
51 1390 3
52 408 12
53 2201 10
54 408 14
55 408 7
56 2201 9
57 4204 0
58 3081 18
59 2201 0
60 2201 1
61 1934 13
62 1934 16
63 1934 17
64 4204 3
65 1934 15
66 4204 10
67 4204 6
68 4204 13
69 1934 14
70 3953 2
71 3953 12
72 3081 7
73 3953 11
74 3081 15
75 3953 4
76 3953 14
LRU: 246
0 2201 14
1 1390 19
2 3953 3
3 3953 6
4 2201 12
5 3081 21
6 1390 3
7 3081 7
8 1390 17
9 408 9
10 408 4
11 408 11
12 408 1
13 1934 7
14 1934 17
15 3953 9
16 3953 1
17 3953 13
18 2201 6
19 2201 5
20 2201 9
21 1390 13
22 1390 21
23 3081 15
24 408 18
25 3081 8
26 3081 14
27 3081 13
28 408 3
29 4204 7
30 1390 1
31 1934 6
32 1390 15
33 4204 2
34 2201 11
35 4204 3
36 4204 0
37 3081 12
38 1390 20
39 3953 10
40 4204 4
41 1390 18
42 3081 20
43 408 0
44 4204 9
45 1934 8
46 1934 5
47 1934 16
48 2201 7
49 1390 14
50 408 16
51 1390 0
52 408 7
53 2201 8
54 408 2
55 408 14
56 2201 10
57 4204 13
58 3081 9
59 2201 13
60 2201 4
61 1934 11
62 1934 9
63 1934 15
64 4204 8
65 1934 14
66 4204 6
67 4204 1
68 4204 10
69 1934 13
70 3953 12
71 3953 4
72 3081 16
73 3953 11
74 3081 11
75 3953 8
76 3953 2
OPT: 168
0 2201 11
1 1390 18
2 3953 10
3 3953 8
4 2201 1
5 3081 12
6 1390 21
7 3081 8
8 1390 3
9 408 1
10 408 0
11 408 3
12 408 4
13 1934 8
14 1934 1
15 3953 4
16 3953 0
17 3953 11
18 2201 4
19 2201 13
20 2201 14
21 1390 9
22 1390 17
23 3081 7
24 408 7
25 3081 15
26 3081 16
27 3081 14
28 408 14
29 4204 3
30 1390 10
31 1934 17
32 1390 14
33 4204 6
34 2201 12
35 4204 10
36 4204 8
37 3081 9
38 1390 13
39 3953 2
40 4204 13
41 1390 19
42 3081 21
43 408 9
44 4204 14
45 1934 7
46 1934 14
47 1934 13
48 2201 0
49 1390 20
50 408 2
51 1390 15
52 408 18
53 2201 9
54 408 11
55 408 12
56 2201 6
57 4204 9
58 3081 19
59 2201 7
60 2201 8
61 1934 2
62 1934 5
63 1934 18
64 4204 4
65 1934 11
66 4204 2
67 4204 7
68 4204 0
69 1934 9
70 3953 9
71 3953 3
72 3081 13
73 3953 13
74 3081 11
75 3953 12
76 3953 5
