FIFO: 274
0 2201 0
1 1390 20
2 3953 10
3 3953 9
4 2201 1
5 3081 16
6 1390 21
7 3081 14
8 1390 3
9 408 2
10 408 1
11 408 3
12 408 4
13 1934 17
14 1934 15
15 3953 11
16 3953 13
17 3953 4
18 2201 6
19 2201 12
20 2201 11
21 1390 14
22 1390 13
23 3081 13
24 408 7
25 3081 8
26 3081 9
27 3081 12
28 408 9
29 4204 3
30 1390 15
31 1934 14
32 1390 0
33 4204 10
34 2201 13
35 4204 7
36 4204 6
37 3081 11
38 1390 18
39 3953 3
40 4204 13
41 1390 19
42 3081 20
43 408 11
44 4204 15
45 1934 6
46 1934 5
47 1934 11
48 2201 14
49 1390 17
50 408 16
51 408 18
52 2201 7
53 408 0
54 2201 8
55 4204 4
56 3081 7
57 2201 4
58 1934 9
59 1934 7
60 1934 8
61 4204 11
62 1934 13
63 4204 9
64 4204 8
65 3953 8
66 3953 2
67 3081 15
68 3953 1
69 3953 12
LRU: 261
0 2201 10
1 1390 14
2 3953 13
3 3953 4
4 2201 13
5 3081 16
6 1390 15
7 3081 9
8 1390 19
9 408 11
10 408 16
11 408 1
12 408 9
13 1934 14
14 1934 8
15 3953 8
16 3953 3
17 3953 1
18 2201 12
19 2201 4
20 2201 9
21 1390 21
22 1390 3
23 3081 21
24 408 0
25 3081 14
26 3081 11
27 3081 20
28 408 2
29 4204 13
30 1390 20
31 1934 15
32 1390 0
33 4204 4
34 2201 6
35 4204 8
36 4204 2
37 3081 13
38 1390 18
39 3953 2
40 4204 6
41 1390 13
42 3081 7
43 408 3
44 4204 9
45 1934 13
46 1934 11
47 1934 6
48 2201 14
49 1390 17
50 408 18
51 408 4
52 2201 7
53 408 14
54 2201 11
55 4204 1
56 3081 8
57 2201 8
58 1934 16
59 1934 9
60 1934 7
61 4204 10
62 1934 5
63 4204 3
64 4204 7
65 3953 10
66 3953 9
67 3081 12
68 3953 12
69 3953 11
OPT: 177
0 2201 12
1 1390 18
2 3953 10
3 3953 8
4 2201 1
5 3081 9
6 1390 21
7 3081 19
8 1390 3
9 408 1
10 408 0
11 408 3
12 408 4
13 1934 8
14 1934 9
15 3953 13
16 3953 12
17 3953 11
18 2201 4
19 2201 11
20 2201 13
21 1390 15
22 1390 14
23 3081 7
24 408 11
25 3081 15
26 3081 16
27 3081 14
28 408 18
29 4204 3
30 1390 13
31 1934 5
32 1390 20
33 4204 6
34 2201 14
35 4204 10
36 4204 8
37 3081 11
38 1390 17
39 3953 17
40 4204 4
41 1390 9
42 3081 21
43 408 9
44 4204 13
45 1934 3
46 1934 14
47 1934 13
48 2201 8
49 1390 19
50 408 2
51 408 12
52 2201 9
53 408 7
54 2201 7
55 4204 2
56 3081 12
57 2201 6
58 1934 7
59 1934 1
60 1934 18
61 4204 9
62 1934 11
63 4204 0
64 4204 7
65 3953 2
66 3953 9
67 3081 8
68 3953 4
69 3953 3
